,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,average_speed,max_speed,start_latlng,start_latitude,start_longitude,distance_km,day_of_week,month_of_year,year,elapsed_time_hr,moving_time_hr
68,10127201584,Emosson Dam with hop along,2023-10-29 11:57:42,Hike,2775.3,0 days 00:00:00.000003228,0 days 00:00:00.000004350,54.1,1968.5,1920.4,0.86,2.322,"[46.0680412966758, 6.935878610238433]",46.0680412966758,6.935878610238433,2.7753,Sunday,10,2023,1.2083333333333334e-09,8.966666666666667e-10
69,10119493117,Home to signal Forbes and back,2023-10-28 11:40:15,Hike,16739.4,0 days 00:00:00.000017150,0 days 00:00:00.000018684,1170.2,2193.5,1055.2,0.976,5.61,"[45.93154912814498, 6.886495957151055]",45.93154912814498,6.886495957151055,16.7394,Saturday,10,2023,5.19e-09,4.763888888888889e-09
70,10102146437,Montenver via Caillet,2023-10-25 13:23:32,Hike,7199.3,0 days 00:00:00.000007176,0 days 00:00:00.000007620,851.2,1906.1,1057.1,1.003,6.845,"[45.93163076788187, 6.886517163366079]",45.93163076788187,6.886517163366079,7.1993,Wednesday,10,2023,2.1166666666666666e-09,1.9933333333333335e-09
71,10084496040,Afternoon Walk,2023-10-22 14:23:16,Hike,6306.9,0 days 00:00:00.000004335,0 days 00:00:00.000004525,101.4,1152.4,1055.2,1.455,6.486,"[45.93143044039607, 6.885934788733721]",45.93143044039607,6.885934788733721,6.3069,Sunday,10,2023,1.2569444444444445e-09,1.2041666666666667e-09
72,10044207209,Afternoon Walk,2023-10-15 15:36:56,Hike,2633.9,0 days 00:00:00.000002193,0 days 00:00:00.000002449,7.0,1078.6,1055.2,1.201,2.308,"[45.948897739872336, 6.890375353395939]",45.948897739872336,6.890375353395939,2.6339,Sunday,10,2023,6.802777777777778e-10,6.091666666666667e-10
73,10041819790,Cancer run Chamonix style!,2023-10-15 10:30:02,Run,10772.6,0 days 00:00:00.000004884,0 days 00:00:00.000005451,475.4,1013.9,890.2,2.206,5.562,"[45.89730896987021, 6.780801750719547]",45.89730896987021,6.780801750719547,10.7726,Sunday,10,2023,1.5141666666666667e-09,1.3566666666666667e-09
74,10020015564,Afternoon Run,2023-10-11 17:39:38,Run,8015.9,0 days 00:00:00.000003258,0 days 00:00:00.000003263,72.2,1106.8,1040.3,2.46,3.918,"[45.92664873227477, 6.874435739591718]",45.92664873227477,6.874435739591718,8.0159,Wednesday,10,2023,9.063888888888888e-10,9.05e-10
75,10013990461,Evening Run,2023-10-10 18:19:52,Run,4266.0,0 days 00:00:00.000001633,0 days 00:00:00.000001633,50.2,1105.8,1055.0,2.612,5.046,"[45.931731685996056, 6.886329744011164]",45.931731685996056,6.886329744011164,4.266,Tuesday,10,2023,4.536111111111111e-10,4.536111111111111e-10
76,9994306227,Les Betty near aguillette des houches,2023-10-07 14:41:22,Hike,8921.5,0 days 00:00:00.000007516,0 days 00:00:00.000007711,636.0,1972.6,1346.3,1.187,4.174,"[45.90604676865041, 6.790727097541094]",45.90604676865041,6.790727097541094,8.9215,Saturday,10,2023,2.1419444444444444e-09,2.0877777777777777e-09
77,9988581051,Evening Run,2023-10-06 18:23:42,Run,4151.7,0 days 00:00:00.000001568,0 days 00:00:00.000001600,47.6,1102.8,1055.0,2.648,6.296,"[45.93163822777569, 6.886322535574436]",45.93163822777569,6.886322535574436,4.1517,Friday,10,2023,4.4444444444444443e-10,4.3555555555555553e-10
78,9975280684,Quite a boring hike,2023-10-04 14:28:18,Hike,7091.5,0 days 00:00:00.000006098,0 days 00:00:00.000006169,497.9,1489.5,1019.0,1.163,4.308,"[45.91431635431945, 6.847799811512232]",45.91431635431945,6.847799811512232,7.0915,Wednesday,10,2023,1.7136111111111112e-09,1.6938888888888889e-09
79,9966495631,School run,2023-10-03 08:28:13,Run,3819.5,0 days 00:00:00.000001507,0 days 00:00:00.000001543,23.6,1055.9,1031.8,2.535,6.42,"[45.912080984562635, 6.855401024222374]",45.912080984562635,6.855401024222374,3.8195,Tuesday,10,2023,4.286111111111111e-10,4.1861111111111113e-10
80,9962952075,Afternoon Walk,2023-10-02 17:14:10,Hike,6051.8,0 days 00:00:00.000004696,0 days 00:00:00.000004696,139.4,1192.9,1055.0,1.289,2.915,"[45.93153269961476, 6.886147102341056]",45.93153269961476,6.886147102341056,6.0518,Monday,10,2023,1.3044444444444444e-09,1.3044444444444444e-09
